,label,teks,teks_clean,teks_clean_slang,teks_clean_slang_stem
0,0,Ketika harga minyak dunia nyungsep ke level dibawah US$30 per barel pemerintah sama sekali tidak turunkan harga BBM Bukannya subsidi malah laba Giliran harga minyak dunia naik bergegas naikkan harga Harga Minyak Terjun Bebas Harga BBM Kapan Turun?,ketika harga minyak dunia nyungsep ke level dibawah  per barel pemerintah sama sekali tidak turunkan harga bbm bukannya subsidi malah laba giliran harga minyak dunia naik bergegas naikkan harga harga minyak terjun bebas harga bbm kapan turun ,harga minyak dunia nyungsep level dibawah per barel pemerintah sekali tidak turunkan harga bbm bukannya subsidi malah laba giliran harga minyak dunia naik bergegas naikkan harga harga minyak terjun bebas harga bbm turun,harga minyak dunia nyungsep level bawah per barel perintah sekali tidak turun harga bbm bukan subsidi malah laba gilir harga minyak dunia naik gegas naik harga harga minyak terjun bebas harga bbm turun
1,1,Apa sih bedanya? Harga telur naik kita bingung Harga Minyak naik kita bingung Harga BBM naik kita bingung Harga Unit turun kita bingung Harga Saham Turun kita bingung Harga Emas Turun kita bingung NAH KALAU UP ASURANSI kan tidak turun2 Bingung juga kah?,apa sih bedanya  harga telur naik kita bingung harga minyak naik kita bingung harga bbm naik kita bingung harga unit turun kita bingung harga saham turun kita bingung harga emas turun kita bingung nah kalau up asuransi kan tidak  bingung juga kah ,sih bedanya harga telur naik bingung harga minyak naik bingung harga bbm naik bingung harga unit turun bingung harga saham turun bingung harga emas turun bingung nah up asuransi kan tidak bingung,sih beda harga telur naik bingung harga minyak naik bingung harga bbm naik bingung harga unit turun bingung harga saham turun bingung harga emas turun bingung nah up asuransi kan tidak bingung
2,1,Ini jadi ingat waktu bikin kebijakan stop exsport CPO karna harga minyak goreng naik tapi hasilnya sama di nikmati sekarang harga migor ya tetap ngk turun malah efeknya ke petani sawit yg rugi harga pupuk yg mahal ngk pernah di bahas jadi sama dgn BBM sekarang,ini jadi ingat waktu bikin kebijakan stop exsport cpo karna harga minyak goreng naik tapi hasilnya sama di nikmati sekarang harga migor ya tetap ngk turun malah efeknya ke petani sawit yg rugi harga pupuk yg mahal ngk pernah di bahas jadi sama dgn bbm sekarang,ingat waktu kebijakan stop exsport cpo harga minyak goreng naik hasilnya nikmati sekarang harga migor tetap tidak turun malah efeknya petani sawit rugi harga pupuk mahal tidak pernah bahas bbm sekarang,ingat waktu bijak stop exsport cpo harga minyak goreng naik hasil nikmat sekarang harga migor tetap tidak turun malah efek tani sawit rugi harga pupuk mahal tidak pernah bahas bbm sekarang
3,0,Saran sih pak mending uangnya buat subsidi bahan pokok aja daripada dikasih ke 20 juta oranglah dapet dana bantuan tapi harga2 sembako dan bbm naik ya buat apa juga duitnya mending subsidi minyak goreng daging sapi dan ayam otomatis ekonomi jadi lebih bergerak!,saran sih pak mending uangnya buat subsidi bahan pokok aja daripada dikasih ke  juta oranglah dapet dana bantuan tapi  sembako dan bbm naik ya buat apa juga duitnya mending subsidi minyak goreng daging sapi dan ayam otomatis ekonomi jadi lebih bergerak,saran sih pak mending uangnya subsidi bahan pokok dikasih juta oranglah dana bantuan sembako bbm naik duitnya mending subsidi minyak goreng daging sapi ayam otomatis ekonomi lebih bergerak,saran sih pak mending uang subsidi bahan pokok kasih juta orang dana bantu sembako bbm naik duit mending subsidi minyak goreng daging sapi ayam otomatis ekonomi lebih gerak
4,1,Itu bukan rumus tapi kebiasaan persis ketika harga minyak dunia turun ke level terendah gak ada tuh berita Pertamina turunkan harga BBM tapi ketika naik besoknya langsung lord kasih statement BBM pekan depan bakal naik,itu bukan rumus tapi kebiasaan persis ketika harga minyak dunia turun ke level terendah gak ada tuh berita pertamina turunkan harga bbm tapi ketika naik besoknya langsung lord kasih statement bbm pekan depan bakal naik,bukan rumus kebiasaan persis harga minyak dunia turun level terendah tidak tuh berita pertamina turunkan harga bbm naik besoknya langsung lord kasih statement bbm pekan depan bakal naik,bukan rumus biasa persis harga minyak dunia turun level rendah tidak tuh berita pertamina turun harga bbm naik besok langsung lord kasih statement bbm pekan depan bakal naik
5,0,Kalo mau naikin harga minyak minimal gaji guru honor naik lah pak @jokowi Harga minyak blm naik aja gaji udh habis di minyak doang itupun dah nombok pake uang laen Apalagi kalo dah naek nambah minus keuangan kami pak,kalo mau naikin harga minyak minimal gaji guru honor naik lah pak jokowi harga minyak blm naik aja gaji udh habis di minyak doang itupun dah nombok pake uang laen apalagi kalo dah naek nambah minus keuangan kami pak,mau naikin harga minyak minimal gaji guru honor naik pak jokowi harga minyak belum naik gaji sudah habis minyak doang itupun deh nombok pakai uang deh naik menambah minus keuangan pak,mau naikin harga minyak minimal gaji guru honor naik pak jokowi harga minyak belum naik gaji sudah habis minyak doang itu deh nombok pakai uang deh naik tambah minus uang pak
6,0,Selisih harga ditanggung pertamina jika minyak dunia turun untung nya banyak donk yaa Apa lagi kalo harga pertamax terus naik untung nya makin banyak deh,selisih harga ditanggung pertamina jika minyak dunia turun untung nya banyak donk yaa apa lagi kalo harga pertamax terus naik untung nya makin banyak deh,selisih harga ditanggung pertamina minyak dunia turun untung banyak dong harga pertamax terus naik untung makin banyak deh,selisih harga tanggung pertamina minyak dunia turun untung banyak dong harga pertamax terus naik untung makin banyak deh
7,0,Iya naik mulu Ayam turun minyak goreng turun eh telor cabe naik wkwk,iya naik mulu ayam turun minyak goreng turun eh telor cabe naik wkwk,iya naik mulu ayam turun minyak goreng turun eh telor cabe naik wkwk,iya naik mulu ayam turun minyak goreng turun eh telor cabe naik wkwk
8,1,plis harga bbm jangan naik mana harga telor naik pula ayam mahal minyak goreng pun mahal kasihanilah mamak bapak mak doain abng dapet kerja cepet,plis harga bbm jangan naik mana harga telor naik pula ayam mahal minyak goreng pun mahal kasihanilah mamak bapak mak doain abng dapet kerja cepet,plis harga bbm jangan naik mana harga telor naik ayam mahal minyak goreng mahal kasihanilah mamak bapak mak doain bang kerja cepat,plis harga bbm jangan naik mana harga telor naik ayam mahal minyak goreng mahal kasihan mamak bapak mak doain bang kerja cepat
9,1,Ada keuntungan yg Didapat Pertamina dari penjualan BBM ketika harga minyak turun nah wajar jika keuntungan ini utk menutupi kekurangan biaya ketika harga minyak dunia naik dan harga BBM tetap stabil Jadi tidak ada subsidi dan kompensasi dlm BBM stop Jokowi bodohi rakyatnya sendir,ada keuntungan yg didapat pertamina dari penjualan bbm ketika harga minyak turun nah wajar jika keuntungan ini utk menutupi kekurangan biaya ketika harga minyak dunia naik dan harga bbm tetap stabil jadi tidak ada subsidi dan kompensasi dlm bbm stop jokowi bodohi rakyatnya sendir,keuntungan didapat pertamina penjualan bbm harga minyak turun nah wajar keuntungan menutupi kekurangan biaya harga minyak dunia naik harga bbm tetap stabil tidak subsidi kompensasi bbm stop jokowi bodohi rakyatnya sendir,untung dapat pertamina jual bbm harga minyak turun nah wajar untung tutup kurang biaya harga minyak dunia naik harga bbm tetap stabil tidak subsidi kompensasi bbm stop jokowi bodoh rakyat sendir
