label,teks
0,Ketika harga minyak dunia nyungsep ke level dibawah US$30 per barel pemerintah sama sekali tidak turunkan harga BBM Bukannya subsidi malah laba Giliran harga minyak dunia naik bergegas naikkan harga Harga Minyak Terjun Bebas Harga BBM Kapan Turun?
1,Apa sih bedanya? Harga telur naik kita bingung Harga Minyak naik kita bingung Harga BBM naik kita bingung Harga Unit turun kita bingung Harga Saham Turun kita bingung Harga Emas Turun kita bingung NAH KALAU UP ASURANSI kan tidak turun2 Bingung juga kah?
1,Ini jadi ingat waktu bikin kebijakan stop exsport CPO karna harga minyak goreng naik tapi hasilnya sama di nikmati sekarang harga migor ya tetap ngk turun malah efeknya ke petani sawit yg rugi harga pupuk yg mahal ngk pernah di bahas jadi sama dgn BBM sekarang
0,Saran sih pak mending uangnya buat subsidi bahan pokok aja daripada dikasih ke 20 juta oranglah dapet dana bantuan tapi harga2 sembako dan bbm naik ya buat apa juga duitnya mending subsidi minyak goreng daging sapi dan ayam otomatis ekonomi jadi lebih bergerak!
1,Itu bukan rumus tapi kebiasaan persis ketika harga minyak dunia turun ke level terendah gak ada tuh berita Pertamina turunkan harga BBM tapi ketika naik besoknya langsung lord kasih statement BBM pekan depan bakal naik
0,Kalo mau naikin harga minyak minimal gaji guru honor naik lah pak @jokowi Harga minyak blm naik aja gaji udh habis di minyak doang itupun dah nombok pake uang laen Apalagi kalo dah naek nambah minus keuangan kami pak
0,Selisih harga ditanggung pertamina jika minyak dunia turun untung nya banyak donk yaa Apa lagi kalo harga pertamax terus naik untung nya makin banyak deh
0,Iya naik mulu Ayam turun minyak goreng turun eh telor cabe naik wkwk
1,plis harga bbm jangan naik mana harga telor naik pula ayam mahal minyak goreng pun mahal kasihanilah mamak bapak mak doain abng dapet kerja cepet
1,Ada keuntungan yg Didapat Pertamina dari penjualan BBM ketika harga minyak turun nah wajar jika keuntungan ini utk menutupi kekurangan biaya ketika harga minyak dunia naik dan harga BBM tetap stabil Jadi tidak ada subsidi dan kompensasi dlm BBM stop Jokowi bodohi rakyatnya sendir
0,Lucu ya minyak di naikin setelah itu bagi bagi bansos  bantu org yg susah kerna minyak naik ga usah naikin harga minyak tentu masyarakat tidak akan susah kendalikan harga kebutuhan pokok kalo minyak naik harga diri langsung turun karna jdi miskin kebutuhan pokok meloncat
0,Minyak naik jokowi turun
0,Bener nih kayaknya pas single gaji masih ada sisa lumayan banyak dan cukup cukup aja buat nongkrong sana sini tapi abis nikah beli minyak goreng dan beras aja nyari yg promo  beli cabe bawang merah dan bawang putih berasa mahal karena harga lagi pada naik hahaha
0,Bbm mahal Telor mahal Minyak mahal Pajak naik Masih mau 3 periode
0,Bisa ga sehusahaiin ga usah naik  bbm pak?? Bbm stabil aja minyak awet harganya telur harganya jg melambung ga turun Lah coba nanti klo bbm naik ?? Pengusaha pasti beralasan ini itu untuk naikin harga?? Masih banyak rakyat bapak yang kurang mampu diluar sana pak!!
1,Subsidi BBM setiap tahun naik jika harga minyak dunia turun apa iya subsidi tetap naik?
1,Pada saat harga minyak dunia naik kenapa anda meminta pemerintah menaikkan harga BBM ?
1,Semua harga BBM itu melalui subsidi dan tidak ada melalui mekanisme pasar kalo Pertamax murni mekanisme pasar harganya bisa 100rb per liter belum lg jika US Dollar naik tembus 20rb nanti Kalo ga percaya liat aja harga minyak dunia berapa? Masih kuat ga tuh kantong recehan rupiahny
